"year","amb","def","eco","edu","gob","sal","seg","soc","viv","cul","code"
1990,0.0259934029804746,0.487287846659097,8.37099170685649,2.48091380970396,13.3184000643482,2.77277481510671,0.129803705564276,0.222345663819369,0.588417154275802,0.00578919676593654,"MEX"
1991,0.0322474801189797,0.508648983490874,7.0984765611904,2.73185247259907,9.93925526617561,3.12949733489299,0.135824524201923,0.316994422350679,0.773717345335007,0.0113770220899336,"MEX"
1992,0.0285870255183292,0.534798919967549,6.61301623833766,3.19312537416639,7.78630116833648,3.23296748442817,0.163345534233118,0.424436808380448,0.87606376614901,0.0213023866005942,"MEX"
1993,0.0206205617886365,0.462241589314807,5.06978657685217,3.02683822972365,5.87749827672805,2.80166579731053,0.17479723965686,0.240004878785178,0.746936103409396,0.0232701371519417,"MEX"
1994,0.0460979929488483,0.540775712460704,5.0980495665245,3.26211784710517,5.45444857588693,1.93595852608707,0.195444936738925,1.19776754133885,0.948831643225156,0.0374446325763539,"MEX"
1995,0.0799105862189598,0.448539318824607,4.52329566487778,3.00913044358319,6.70488663981191,1.7546194675211,0.173825317724627,1.25418650559669,0.648780858705748,0.0234622781627093,"MEX"
1996,0.0939686900391174,0.468642746271481,4.80505380853937,3.02236388960318,6.62670112662168,1.68199088316781,0.170048492547618,1.37016967501599,0.693744314208651,0.0237789505665541,"MEX"
1997,0.186673940400645,0.461650181390969,4.82149993277795,2.87924805554359,6.86366973692294,1.79188055455256,0.170817885682013,1.55419872333972,0.665124019334498,0.0232537493418632,"MEX"
1998,0.122094579404531,0.404750526388465,3.95990875954761,3.08738437630961,5.53112161349529,1.82984076898913,0.175390508802521,1.51371374760561,0.754078358837898,0.035508169050928,"MEX"
1999,0.161278282469272,0.399204221597487,3.40031791515062,3.06124648475743,6.02534624700177,1.91899530151276,0.204586020812489,1.83171762699233,0.700462413043724,0.0368758773263324,"MEX"
2000,0.154293234059619,0.386092379127411,3.33390451166052,3.09256353441059,6.74659097324264,1.82323542577004,0.22479702084082,2.00519205524482,0.795951942877587,0.0368092226103018,"MEX"
2001,0.146563121493567,0.388717406677967,3.46941308354607,3.32599592514717,6.24547334245029,1.91648139273334,0.299198913655036,2.00413550654819,0.927402760914639,0.0543075819920783,"MEX"
2002,0.163140856677977,0.359933564092158,4.28159676890298,3.48186333276551,6.08485243007222,1.78230068094417,0.349168298278105,2.34142117117442,0.980655893724598,0.0670534069131982,"MEX"
2003,0.205667651923102,0.388915245614663,4.59876551291087,3.41692092290494,6.94598148955861,2.21713461006927,0.473395622922379,2.06840690327736,1.13744143122484,0.0747829387623606,"MEX"
2004,0.197803895468971,0.351575761113705,4.377854715375,3.2703521025652,6.4501715323599,2.06519949880917,0.454789634665312,2.14416540107952,1.28294728155285,0.0816013551907957,"MEX"
2005,0.201752935646783,0.335465653665426,4.62288954666254,3.3554780664133,6.17140846370491,2.33759725714588,0.458312378350714,2.11041750794579,1.28094852547671,0.0948758839869058,"MEX"
2006,0.190324848459369,0.314705019559952,4.58851687939248,3.35770467402906,6.68208888537787,2.32496950735612,0.465261496919379,2.25347723658453,1.36094651848127,0.0935180865953847,"MEX"
2007,0.183972167983628,0.363452232596924,4.8588637164129,3.2812326637308,6.03567930748297,1.98992130841987,0.509936429731425,2.80459473845985,1.46254462277733,0.0891423465153972,"MEX"
2008,0.146726306441428,0.384381030698453,5.40883223663954,3.38054732053593,6.19554430554633,1.86894603703755,0.544979969998056,3.66781808732772,1.55924808381935,0.095723974083499,"MEX"
2009,0.189372190189295,0.458662999257167,6.88559868987665,3.68121132409688,6.37865734955563,2.07131846719229,0.67112458916228,3.55373648982352,1.38405969409625,0.122435443028452,"MEX"
2010,0.215517467922423,0.478819736711139,6.49117261065048,3.55109037862418,6.18964087575574,2.6572185392957,0.664375080269834,3.0655730090201,1.49407776067611,0.135311745027968,"MEX"
2011,0.189803847257181,0.526240998411126,6.14503249241909,3.50475283662617,6.17081357690186,2.71958718289379,0.726877020992155,3.14984631971308,1.49109966162945,0.136758903363891,"MEX"
2012,0.168440993109417,0.472217901158707,6.20046275566157,3.51395612163709,6.21818130523095,2.7517200100593,0.763636479498688,3.2362890523969,1.29746878376527,0.16183305389561,"MEX"
2013,0.155835301404035,0.485254096555515,6.65778957819238,3.55744164268184,6.2343043951823,2.73181883963845,0.710262333780372,3.41229249226179,1.5677329289586,0.157071722389649,"MEX"
2014,0.167522101602213,0.518966234808161,6.34301466365424,3.56947889254542,6.34425675829586,2.65956166559929,0.768071825553283,3.62546445619332,1.75711630187362,0.14431702882497,"MEX"
2015,0.145335080011427,0.542625574333555,6.22266783283233,3.61555254422347,6.68844894547861,2.68489480148801,0.771594984570039,3.74616184351184,1.78022193608749,0.147785425719236,"MEX"
2016,0.118946889610413,0.489676837485725,6.7297252806581,3.3782906796704,7.10797437178709,2.54467530152682,0.765415846347433,3.71317587102127,1.60894051669102,0.110515659511456,"MEX"
2017,0.0819110415260759,0.452032834396548,4.7831410143981,3.13000764185098,7.36642466381126,2.47651098746698,0.658995001235053,3.65983483719598,0.931614979639584,0.0876787532823906,"MEX"
2018,0.091234167564193,0.452174596751857,4.89242629600786,3.02697355450708,7.40486943223548,2.39909439057702,0.677144981002764,3.76595931457762,0.96412985252619,0.0856866284710233,"MEX"
2019,0.0669197506353558,0.519462339408875,4.69104373232031,3.05397894994118,7.07003419493544,2.37477005554249,0.619228968256623,4.40166491470687,1.02189942625055,0.0803077210319965,"MEX"
