Población ocupada,,,,,,,,,
Sexo : Total,,,,,,,,,
,,,,,,,,,
Consulta de: Población ocupada   Por: Entidad Federativa y Periodo encuesta   Según: Nivel de ingresos,,,,,,,,,
,,Total,Hasta un salario mínimo,Más de 1 hasta 2 salarios mínimos,Más de 2 hasta 3 salarios mínimos,Más de 3 hasta 5 salarios mínimos,Más de 5 salarios mínimos,No recibe ingresos,No especificado
Total,Primer trimestre del 2020,55352304|0.469473552086371|259864.427750446|,12533197|1.05626006974908|132383.15537399|,19781852|0.821994856365092|162605.805933755|,8613773|1.12214610945169|96659.1185964998|,3715640|1.71693503657097|63795.1249928454|,1534613|2.63485335154557|40434.802063754|,2908620|2.54170282994908|73928.476852465|,6264609|1.68747343995318|105713.612991916|
Total,Cuarto trimestre del 2019,55683450|0.460344447104377|256335.670031142|,11060229|1.07276040787461|118649.757732266|,17578323|0.913946525927576|160656.472374828|,10056100|1.07092182887679|107692.970033679|,4972246|1.5775666652945|78440.4954124392|,2010414|2.55529679462785|51372.0445007496|,3358459|2.56178603905648|86036.5337894358|,6647679|1.64314958936572|109231.310190851|
Total,Tercer trimestre del 2019,55201939|0.456151599341011|251804.527615749|,10948633|1.07959475154408|118200.867233823|,17531173|0.886364634603356|155390.117503132|,10038381|1.11446041118272|111873.782168688|,4629662|1.50993487596483|69904.8811772907|,1810804|2.40444430947829|43539.7737338053|,3485828|2.35488217963309|82087.1423846604|,6757458|1.58824695331118|107325.120806283|
Total,Segundo trimestre del 2019,54936719|0.451721562056889|248161.005209603|,10891594|1.04998277514589|114359.860938823|,17552729|0.889291800666555|156094.979790221|,9919901|1.09275911650588|108400.622525857|,4437659|1.53495484363721|68116.0617646026|,1831552|2.53121158105796|46360.4563370987|,3219868|2.33578249424129|75209.1130816773|,7083416|1.67183005575585|118422.677662219|
Total,Primer trimestre del 2019,54152266|0.439983872988748|238261.237257969|,10642543|1.03684750144015|110346.941185193|,17141160|0.869254195450478|149000.252448879|,9818858|1.09187804183947|107209.954461398|,4522674|1.55068934280908|70132.6237279973|,1741491|2.37791706513985|41411.2116768747|,3123910|2.37125985378808|74076.0236984711|,7161630|1.59536200179738|114253.923729322|
Total,Cuarto trimestre del 2018,54194608|0.446999258374651|242249.495839049|,8663936|1.27108155834254|110125.692722601|,15038091|0.945029753461205|142114.434302572|,10001777|1.04936489616391|104955.136830596|,6921736|1.31395677090431|90948.6188361211|,2456938|2.15381209580823|52917.8278305088|,3344211|2.50350290992467|83722.4196990209|,7767919|1.47789407373921|114801.614553862|
Total,Tercer trimestre del 2018,54027997|0.453057086964689|244777.669353569|,8547030|1.22205707390984|104449.584724196|,15112727|0.979399884441858|148014.030774013|,9852659|1.08029009523876|106437.299294651|,6908797|1.30332812605228|90044.2944728564|,2405725|2.29817591207752|55287.792460827|,3480221|2.33696222795689|81331.4502194237|,7720838|1.51691930780832|117118.882346602|
Total,Segundo trimestre del 2018,53785257|0.447487426844875|240682.262571203|,8705172|1.23112059658228|107171.165459914|,15287116|0.927841809799037|141840.253760478|,9739678|1.09040366636473|106201.806004119|,6936174|1.32591623565414|91967.8571992211|,2419355|2.28601714530761|55306.870105857|,3254898|2.50016715500271|81377.8907248402|,7442864|1.40127410493821|104294.925897768|
Total,Primer trimestre del 2018,52876916|0.443800627715238|234668.085124459|,8645273|1.19193373770811|103045.92560397|,15253962|0.916476210112638|139798.932829622|,9754514|1.09511165327516|106822.819534357|,6707166|1.39071186090636|93277.3530926785|,2272438|2.11186952401783|47990.9255742003|,2965555|2.46207002382527|73014.0406950514|,7278008|1.4972991104324|108973.549041199|
Total,Cuarto trimestre del 2017,52865845|0.44254224421131|233953.696884273|,7926332|1.24819136328877|98935.7914495937|,14215650|0.979429158212318|139232.221129409|,10531765|1.06523001355444|112187.521737022|,6695812|1.26451565117133|84669.5907130083|,2429320|2.11108043510789|51284.8992261631|,3421033|2.40572777163931|82300.7409579454|,7645933|1.60516548477821|122729.877505267|
Total,Tercer trimestre del 2017,52438646|0.433537086419008|227340.978025978|,7355639|1.29335617807062|95134.6114430718|,13682660|0.946634635483996|129524.798615515|,11081749|1.01776123862333|112785.745883529|,6695729|1.31327802911956|87933.5378463867|,2722520|2.23288114545081|60790.6357611275|,3437846|2.33061517992221|80122.9607383487|,7462503|1.53586230778616|114613.770794411|
Total,Segundo trimestre del 2017,52198611|0.41086183804732|214464.17258977|,7566408|1.24813531108843|94439.01002902|,14118747|0.942415275557406|133057.228445303|,10939869|0.967712081964105|105866.434064046|,6555065|1.2287323803596|80544.2062086193|,2776570|1.93280293795915|53665.6265344923|,3337521|2.40085423799459|80129.0143724595|,6904431|1.49655106535929|103328.335687497|
Total,Primer trimestre del 2017,51859895|0.435153681085328|225670.242099486|,7442463|1.27982823264587|95250.7426782229|,14262160|0.918048959325155|130933.611457289|,11218801|1.00464622920453|112709.26120846|,6601395|1.21925319104945|80487.7191912792|,2704520|1.89770534739471|51323.8206613595|,3133797|2.4035994870166|75323.9286161417|,6496759|1.63182794572858|106015.928928637|
Total,Cuarto trimestre del 2016,52123674|0.429762318142875|224007.909683635|,7447513|1.28268044848718|95527.7931495409|,13576764|0.966617708558756|131235.40507323|,11238626|0.970004865811786|109015.219050388|,6881988|1.2237862499626|84220.8228680758|,3163526|1.83545624556519|58065.1355470787|,3450485|2.17346486196458|74995.0790423585|,6364772|1.55144365076139|98745.8510794384|
