"code","cont","reg","year","def","eco","edu","amb","pub","sal","viv","seg","cul","soc"
"HRV","Europe","Europe & Central Asia",2002,1.57478581560284,8.81342505910166,3.72061229314421,0.845494089834515,5.34810354609929,3.85202222222222,3.96421796690307,2.53951631205674,2.01363593380615,17.9527579196217
"HRV","Europe","Europe & Central Asia",2003,1.40239711588928,10.4799235091161,3.70845400652194,0.865475852456054,5.44984254407475,3.74461466319059,4.0403435636664,3.10620832365367,2.0011271435086,15.2748393175189
"HRV","Europe","Europe & Central Asia",2004,1.62178015109972,10.0625243950623,3.60170416222667,0.825675379046388,5.03677159037847,3.94030842542594,3.72283138372385,2.52676253078068,2.15260992245463,15.4272693893352
"HRV","Europe","Europe & Central Asia",2005,1.37663115598752,9.62102469437834,3.46564990473649,0.800170139892801,5.0444213390269,4.49898991022248,3.57037378881896,2.28050619398172,2.04534394946956,14.261821942486
"HRV","Europe","Europe & Central Asia",2006,1.34053469681929,8.69971782912003,3.41775602757795,0.937065014890463,5.45948060160192,3.80287984280022,3.44194453132437,2.65668439017093,2.00561486054639,14.7857275929124
"HRV","Europe","Europe & Central Asia",2007,1.41067415904559,9.47751107885915,3.27101447927036,0.792612129838957,5.01043599070895,3.85595870508372,3.5098582464236,2.28080512061924,1.93641928791389,14.0720989515011
"HRV","Europe","Europe & Central Asia",2008,1.5930579239624,9.47585528642786,3.20276751335015,0.786997230761267,5.42055333013179,3.71637215347851,3.38447788491124,2.28293970651246,1.95032681618064,13.8996385323897
"HRV","Europe","Europe & Central Asia",2009,1.52787996390709,9.19969701267779,3.61681157146004,0.860380182697734,5.98680103933101,4.1854901061361,3.29382376639798,2.41349108390395,2.12245093808376,15.5815518745077
"HRV","Europe","Europe & Central Asia",2010,1.49511185107993,7.99927478330087,3.70002916665401,0.780894018709193,7.07005192272052,4.2579501918619,2.90514396478127,2.51452468987644,2.06182510337452,15.7132535098726
"HRV","Europe","Europe & Central Asia",2011,1.49760956533735,7.57255513504111,3.55104272253444,0.760704025142898,8.13124508927768,4.26167447384047,2.72759870926724,2.44287098070498,1.92942504813258,16.0574858901078
"HRV","Europe","Europe & Central Asia",2012,1.46616227261461,8.02635222140944,3.64651206374348,0.740883425123781,6.38338824638934,4.78656453845828,3.1016449734906,2.43815268449275,1.96606252229269,15.7193267760091
