"code","cont","reg","year","inv","def","eco","edu","amb","gob1","faid","gobo","gobr","gobg","sal","viv","gobd","seg","cul","soc","gobt"
"DNK","Europe","Europe & Central Asia",1995,0.814099218221621,1.70470716837613,3.89770020347656,6.36633692979045,0.510862213852036,1.46958512585349,1.23648916576538,1.00648056938705,0.0487224585449062,0.349643940132158,6.77782462423407,0.697551238177568,5.93786873494307,0.942803692872917,1.60301712618538,25.16240015514,0
"DNK","Europe","Europe & Central Asia",1996,0.838400623515658,1.6327764828717,4.01627169988897,6.42761556730366,0.508168937449909,1.48094159687654,1.26329933898517,0.991062697146387,0.0404402844054911,0.352381932751483,6.70536679337956,0.652467224987684,5.69399204429314,0.924887686301037,1.61954148070263,24.8507385866488,0
"DNK","Europe","Europe & Central Asia",1997,0.817447250702146,1.62084721702356,3.88298350360212,6.40242066992459,0.55028709682767,1.5560203083597,1.16348159762121,1.0175119903606,0.0483366183038733,0.278764432275948,6.53460474344511,0.628201537523263,5.0804054342923,0.900858454851068,1.57338310085514,23.8522016282635,0
"DNK","Europe","Europe & Central Asia",1998,0.784241311245401,1.61367704705026,3.84295949281063,6.68944937845018,0.566110758380994,1.67320552417522,1.2249712686564,0.940988391946961,0.0621423337692572,0.315855064178612,6.59417008786774,0.59098455547995,4.57214117861326,0.912826194553566,1.51595253573606,23.4957887396742,0
"DNK","Europe","Europe & Central Asia",1999,0.827372231319486,1.57613121324569,3.88797289776009,6.48406269406639,0.573248458946727,1.63227202761774,1.15954542855095,0.960112636032737,0.0593626688553798,0.318641408401469,6.87519582834281,0.625523047938778,4.20290917350572,0.922336392215677,1.57661449141819,22.8518889330104,0
"DNK","Europe","Europe & Central Asia",2000,0.79779276831679,1.43656959660444,3.71238161413991,6.28836447960715,0.502972693722488,1.55594459613343,1.10316366357653,0.886042846882722,0.0724238475677721,0.316072441934689,6.68839130883684,0.712255757921971,3.79889834359652,0.902698070933167,1.56393307463726,22.3486729705308,7.53630047531447e-05
"DNK","Europe","Europe & Central Asia",2001,0.904539906644132,1.48068647623158,3.38659274414047,6.39462904822803,0.605238252865786,1.586918512664,1.12305563292274,0.925684237848936,0.0802026356044289,0.348298172983961,6.93242417569919,0.454748943877112,3.42217354975407,0.920799168225757,1.61200006416211,22.6595048143455,0
"DNK","Europe","Europe & Central Asia",2002,0.728937396473872,1.47056737990969,3.54002632116358,6.57589457920174,0.68114519752218,1.48786900682989,1.10014238388056,0.893090127294593,0.0672919833904382,0.416160854076377,7.07558541898301,0.551241179006603,3.1232982006308,0.929891538653536,1.58586428717297,22.9871967960791,0
"DNK","Europe","Europe & Central Asia",2003,0.738402130918997,1.4580118614847,3.44012288837801,6.56662149530433,0.623838090246675,1.46671204683345,1.05439286278555,1.08745356711079,0.0673046338579197,0.376892029307792,7.14480101284078,0.534539387827118,2.79721399184688,0.940385633975546,1.60403577237809,23.7372376981119,0.00146163113858978
"DNK","Europe","Europe & Central Asia",2004,0.755510284846899,1.43226901425098,3.4559051050397,6.62980527250296,0.563611469307478,1.44448679351023,1.00816599181143,0.975231108590825,0.0497343297020854,0.377489538526509,7.20955217854956,0.421181379573201,2.53611880993518,0.942030621473278,1.74886885940391,23.4475120218964,0
"DNK","Europe","Europe & Central Asia",2005,0.918231784325557,1.38198202628906,3.26636540240343,6.37629785439062,0.623335811291798,1.43046930515649,0.96419696806334,1.01766538481182,0.0419928839085917,0.362803384399454,7.25114960248628,0.290608411313362,2.07486461078082,0.938093283471513,1.56426645178416,22.7392727412589,0
"DNK","Europe","Europe & Central Asia",2006,0.977256785514724,1.53079785526613,3.13851604389333,6.19131406560223,0.574405858785206,1.55653703945882,0.919655701259021,1.11807925053202,0.0376873967163221,0.340613222688526,7.34838847740539,0.182908706145305,1.80299121419995,0.908183039482601,1.53418615434,21.6682320212096,0
"DNK","Europe","Europe & Central Asia",2007,1.11033409514126,1.41340866298683,2.92009758195953,5.94123918966947,0.518849857894259,1.55120119895609,0.936713199443769,0.988126608106756,0.04134926267191,0.389971279802812,7.66709645362499,0.323835463290021,1.70613153781301,0.914112003018094,1.70607402840735,21.4627977405705,0
"DNK","Europe","Europe & Central Asia",2008,1.36771636496861,1.40418658095888,2.77700988637058,6.10551383037186,0.455350352767462,1.94657696214758,0.9015415188707,0.93640193841696,0.0300310302142139,0.347382970574031,7.88628175878588,0.376692367899549,1.53097192848063,0.969041949074922,1.77749282530378,21.5984723586849,0
"DNK","Europe","Europe & Central Asia",2009,1.56537523306717,1.37735368084996,3.31499765118228,6.93571904307598,0.440613816622661,1.75566140558595,0.957179514128618,1.10797999933803,0.0425632482319993,0.439046002567731,8.87104032591951,0.504371588189831,2.01313131371785,1.07453329949952,1.86366637381449,24.2731294671813,0
"DNK","Europe","Europe & Central Asia",2010,1.56538698986044,1.348315723558,3.36893942656961,7.13160007642499,0.411226079917125,1.84049486284917,1.00694340906255,1.06580832126768,0.0433479888189799,0.443640435887496,8.55010088761219,0.255891184951787,1.98743626189033,1.0397995279763,1.7778197452574,24.8365201007661,0
"DNK","Europe","Europe & Central Asia",2011,1.58994701259547,1.34840111887567,3.40866143181865,6.81889310145794,0.383517051158348,2.19730417239262,0.950643635068067,0.917776933098123,0.0418008137080679,0.416221314733054,8.4496121512583,0.280043793391356,2.06616224130332,1.06077686703984,1.80680227023901,24.6926936292744,0
